Polynomial-Degree	Time
500	1147
500	1149
500	1151
500	1145
500	1171
1000	2834
1000	2585
1000	2557
1000	2902
1000	2550
1500	4212
1500	3581
1500	4128
1500	4169
1500	3589
2000	5346
2000	5363
2000	5464
2000	5327
2000	5321
2500	6826
2500	6686
2500	6576
2500	6831
2500	6558
3000	7846
3000	7509
3000	7826
3000	8065
3000	7724
3500	9080
3500	9071
3500	9334
3500	9081
3500	9142
4000	10337
4000	10428
4000	10384
4000	10397
4000	10342
4500	11508
4500	11425
4500	11566
4500	11716
4500	11614
5000	12834
5000	12899
5000	12811
5000	12652
5000	12860
5500	13952
5500	14159
5500	14784
5500	14062
5500	13985
6000	15133
6000	15121
6000	15325
6000	15159
6000	15074
6500	16552
6500	16764
6500	16581
6500	16395
6500	16561
7000	17626
7000	17925
7000	17721
7000	17931
7000	17451
7500	18979
7500	18908
7500	18294
7500	19021
7500	18882
8000	20419
8000	20215
8000	20074
8000	20250
8000	20236
8500	21546
8500	21518
8500	21683
8500	21418
8500	21510
9000	22898
9000	23203
9000	22855
9000	22836
9000	22640
9500	24350
9500	24356
9500	24526
9500	24019
9500	24504
10000	25683
10000	25654
10000	25581
10000	25390
10000	26073
