Polynomial-Degree	Time
0	67
0	69
0	71
0	73
0	67
100	274
100	275
100	276
100	280
100	281
200	540
200	513
200	538
200	515
200	611
300	826
300	953
300	822
300	806
300	826
400	1192
400	1315
400	1349
400	1211
400	1195
500	1567
500	1544
500	1644
500	1843
500	1531
500	1629
500	1615
500	1698
500	1553
500	1557
1000	3791
1000	4042
1000	4276
1000	4085
1000	3782
1500	7060
1500	7129
1500	6939
1500	6822
1500	6923
2000	10717
2000	10840
2000	10868
2000	10778
2000	10826
2500	13107
2500	13034
2500	12779
2500	12810
2500	12577
3000	17214
3000	17296
3000	17486
3000	17299
3000	17374
3500	21354
3500	21457
3500	21355
3500	20528
3500	21429
4000	26810
4000	27031
4000	26369
4000	27120
4000	26986
4500	30248
4500	29712
4500	29904
4500	29586
4500	29773
5000	35569
5000	33966
5000	34960
5000	34544
5000	35538
5500	40766
5500	41038
5500	40948
5500	41172
5500	41332
6000	48323
6000	47653
6000	48843
6000	47804
6000	48482
