Polynomial-Degree	Time
500	1721
500	2106
500	1729
500	1754
500	1756
1000	3645
1000	3653
1000	3681
1000	3673
1000	3718
1500	5633
1500	5565
1500	5587
1500	5645
1500	5559
2000	7427
2000	7374
2000	7383
2000	7400
2000	7475
2500	9168
2500	9104
2500	9077
2500	9052
2500	9208
3000	11040
3000	10800
3000	10535
3000	10905
3000	11320
3500	13187
3500	12706
3500	12800
3500	12738
3500	12831
4000	14549
4000	14613
4000	14571
4000	14452
4000	14546
4500	16653
4500	16422
4500	16343
4500	16462
4500	16310
5000	18266
5000	18290
5000	18288
5000	18402
5000	18265
5500	20142
5500	20058
5500	20111
5500	20367
5500	20241
6000	22000
6000	22038
6000	21934
6000	22140
6000	21907
6500	23837
6500	24056
6500	23901
6500	23770
6500	23982
7000	25557
7000	25875
7000	25898
7000	25572
7000	25654
7500	27920
7500	27598
7500	27670
7500	27789
7500	27475
8000	29654
8000	29508
8000	29323
8000	30047
8000	29510
8500	31424
8500	31699
8500	31518
8500	31599
8500	31479
9000	33604
9000	33415
9000	33379
9000	33469
9000	33417
9500	35258
9500	34995
9500	35561
9500	36260
9500	35525
10000	37265
10000	37804
10000	37395
10000	37395
10000	37489
