Polynomial-Degree	Time
500	2490
500	2314
500	2256
500	2389
500	2448
1000	6201
1000	6161
1000	6032
1000	5945
1000	5987
1500	10126
1500	10202
1500	10159
1500	10065
1500	10198
2000	15288
2000	15179
2000	14955
2000	15413
2000	14997
2500	20702
2500	20458
2500	20906
2500	20898
2500	20540
3000	25271
3000	25768
3000	26003
3000	25560
3000	25497
3500	31937
3500	32216
3500	32398
3500	31902
3500	31978
4000	39663
4000	40065
4000	39926
4000	39919
4000	40059
4500	47248
4500	47188
4500	47457
4500	47894
4500	47162
5000	55229
5000	55450
5000	56489
5000	55605
5000	55355
5500	64020
5500	63235
5500	64590
5500	62720
5500	63496
6000	72255
6000	72077
6000	72957
6000	72293
6000	72991
6500	85325
6500	86362
6500	85184
6500	84494
6500	83880
7000	91282
7000	94304
7000	93694
7000	93161
7000	94030
7500	105924
7500	104231
7500	104452
7500	103553
7500	103657
8000	116571
8000	117574
8000	117970
8000	117480
8000	117141
8500	127848
8500	127708
8500	129566
8500	129137
8500	127605
9000	144770
9000	143123
9000	144365
9000	141445
9000	141163
9500	155184
9500	155707
9500	157372
9500	157122
9500	156820
10000	173251
10000	170792
10000	173880
10000	170982
10000	172216
