Polynomial-Degree	Time
500	255
500	255
500	256
500	256
500	256
1000	513
1000	516
1000	518
1000	519
1000	516
1500	777
1500	777
1500	779
1500	781
1500	786
2000	1073
2000	1063
2000	1065
2000	1061
2000	1057
2500	1404
2500	1408
2500	1411
2500	1408
2500	1404
3000	1723
3000	1733
3000	1715
3000	1726
3000	1727
3500	1938
3500	1911
3500	1934
3500	1917
3500	1957
4000	2418
4000	2420
4000	2421
4000	2419
4000	2427
4500	2758
4500	2767
4500	2774
4500	2784
4500	2780
5000	2900
5000	2913
5000	2900
5000	2911
5000	2887
5500	3299
5500	3290
5500	3288
5500	3303
5500	3306
6000	3512
6000	3471
6000	3493
6000	3484
6000	3497
6500	3907
6500	3814
6500	3856
6500	3894
6500	3882
7000	4344
7000	4345
7000	4319
7000	4369
7000	4373
7500	4555
7500	4570
7500	4580
7500	4564
7500	4540
8000	5109
8000	5015
8000	5102
8000	5008
8000	5002
8500	6130
8500	6160
8500	6171
8500	6146
8500	6170
9000	5791
9000	5850
9000	5870
9000	6048
9000	6100
9500	6506
9500	6567
9500	6475
9500	6460
9500	7101
10000	7617
10000	7601
10000	6446
10000	7619
10000	6334
