Polynomial-Degree	Time
500	1257
500	1267
500	1288
500	1270
500	1270
1000	2724
1000	2702
1000	2701
1000	2727
1000	2724
1500	4159
1500	4115
1500	4157
1500	4160
1500	4060
2000	5543
2000	5552
2000	5532
2000	5564
2000	5552
2500	7039
2500	6965
2500	7011
2500	7046
2500	7073
3000	8438
3000	8487
3000	8511
3000	8464
3000	8444
3500	10077
3500	9989
3500	10041
3500	10034
3500	10007
4000	11429
4000	11438
4000	11448
4000	11481
4000	11407
4500	12754
4500	12873
4500	12806
4500	12762
4500	12835
5000	14273
5000	14153
5000	14150
5000	14149
5000	14193
5500	15610
5500	15610
5500	15530
5500	15584
5500	15519
6000	17115
6000	17081
6000	17060
6000	17086
6000	16976
6500	18555
6500	18713
6500	18520
6500	18531
6500	18543
7000	20008
7000	20099
7000	20100
7000	19988
7000	19990
7500	21628
7500	21716
7500	21780
7500	21726
7500	21741
8000	23026
8000	23164
8000	23279
8000	23009
8000	23124
8500	24790
8500	24877
8500	24637
8500	24744
8500	24707
9000	26340
9000	26040
9000	26187
9000	26251
9000	26284
9500	27954
9500	27955
9500	27798
9500	27823
9500	27971
10000	29643
10000	29657
10000	29652
10000	29746
10000	29784
