Polynomial-Degree	Time
500	1541
500	1549
500	1539
500	1546
500	1522
1000	3292
1000	3275
1000	3319
1000	3340
1000	3287
1500	5655
1500	5623
1500	5640
1500	5596
1500	5706
2000	8436
2000	8533
2000	8465
2000	8705
2000	8492
2500	12407
2500	12496
2500	12556
2500	12470
2500	12488
3000	16284
3000	16370
3000	16308
3000	16324
3000	16223
3500	20056
3500	20132
3500	19987
3500	19975
3500	20098
4000	25183
4000	24191
4000	25241
4000	25153
4000	24297
4500	29522
4500	29426
4500	30696
4500	30327
4500	29512
5000	35071
5000	35125
5000	34737
5000	35075
5000	34879
5500	40890
5500	41140
5500	39792
5500	41280
5500	40315
6000	48152
6000	48409
6000	47957
6000	48504
6000	48009
6500	55598
6500	54091
6500	53980
6500	54629
6500	53928
7000	60822
7000	60338
7000	60996
7000	60541
7000	61265
7500	68058
7500	67759
7500	68325
7500	66882
7500	68262
8000	77346
8000	76707
8000	75079
8000	75754
8000	78472
8500	87265
8500	85873
8500	87130
8500	88164
8500	86032
9000	93304
9000	97883
9000	95927
9000	96520
9000	96884
9500	105224
9500	104270
9500	106613
9500	105248
9500	104420
10000	113935
10000	112931
10000	114026
10000	114567
10000	112907
