Polynomial-Degree	Time
500	1906
500	1922
500	1904
500	1918
500	1915
1000	3922
1000	3927
1000	3887
1000	3902
1000	3906
1500	5932
1500	5985
1500	5947
1500	5967
1500	5961
2000	8078
2000	8070
2000	8031
2000	8057
2000	8053
2500	10199
2500	10161
2500	10201
2500	10154
2500	10225
3000	12221
3000	12112
3000	12149
3000	12532
3000	12215
3500	14293
3500	14208
3500	14181
3500	14120
3500	14195
4000	16246
4000	16253
4000	16248
4000	16259
4000	16234
4500	18293
4500	18360
4500	18369
4500	18295
4500	18305
5000	20456
5000	20474
5000	20312
5000	20387
5000	20416
5500	22531
5500	22468
5500	22578
5500	22498
5500	22472
6000	24854
6000	24730
6000	24835
6000	24729
6000	24867
6500	27116
6500	27248
6500	26902
6500	27083
6500	27044
7000	29402
7000	29268
7000	29313
7000	29180
7000	29458
7500	31632
7500	31577
7500	31689
7500	31602
7500	31473
8000	33655
8000	33693
8000	33655
8000	33778
8000	33710
8500	36340
8500	36118
8500	36175
8500	36232
8500	36316
9000	38593
9000	38582
9000	38520
9000	38476
9000	38824
9500	41252
9500	41330
9500	41121
9500	41249
9500	40946
10000	43477
10000	43552
10000	43550
10000	43712
10000	43869
