Polynomial-Degree	Time
500	2179
500	2199
500	2205
500	2203
500	2189
1000	5499
1000	5472
1000	5484
1000	5406
1000	5471
1500	9778
1500	9857
1500	9907
1500	9815
1500	9826
2000	15863
2000	15960
2000	15907
2000	15977
2000	15866
2500	22204
2500	22209
2500	22124
2500	22270
2500	21984
3000	29366
3000	29340
3000	29104
3000	29174
3000	29340
3500	37257
3500	37074
3500	37117
3500	36825
3500	37114
4000	47275
4000	47231
4000	47296
4000	47542
4000	46806
4500	57075
4500	56965
4500	57033
4500	56130
4500	55905
5000	69423
5000	67822
5000	68025
5000	67390
5000	69189
5500	79335
5500	80354
5500	80573
5500	79577
5500	79316
6000	91895
6000	93550
6000	93148
6000	91884
6000	91465
6500	107539
6500	107914
6500	105628
6500	104637
6500	107143
7000	121634
7000	120889
7000	119024
7000	122236
7000	125718
7500	138036
7500	136886
7500	136728
7500	138571
7500	139103
8000	154013
8000	158298
8000	158991
8000	156651
8000	154667
8500	173319
8500	173133
8500	175012
8500	171519
8500	170502
9000	192747
9000	193943
9000	192436
9000	197152
9000	188911
9500	215652
9500	212676
9500	213808
9500	214911
9500	220248
10000	239219
10000	241916
10000	230794
10000	235186
10000	239669
